threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.0623906907478917	0.0155539955481496	0.4467451952882827	0.7719776813391197	0.1094903819855957	0.0304935985972748
0.2	0.0663257688862346	0.0186804128498949	0.4406695598264104	0.5985120892746435	0.1152978961540333	0.0362300348264681
0.3	0.0714361713446683	0.0224504560063568	0.4162430254184749	0.469435833849969	0.1219441316429946	0.0428515644895672
0.4	0.079587266037434	0.0277035281582113	0.370117792932424	0.3739615623062616	0.131004366812227	0.0515855368932371
0.5	0.0951843915642269	0.035541241930614	0.313949163050217	0.3065096094234346	0.1460797323025442	0.0636965652297147
0.6	0.116199031674736	0.0468900619692448	0.2469931804091754	0.2533168009919405	0.1580450650587115	0.0791323714534714
0.7	0.135159443990188	0.0633215653872155	0.2049597024178549	0.2090514569125852	0.1628972653362897	0.0972010031420253
0.8	0.1475890985324947	0.0935800504045629	0.1745815251084934	0.1749535027898326	0.1599545583641011	0.1219375189042043
0.9	0.2003338898163606	0.1516599597585513	0.1487910725356478	0.1495350278983261	0.1707577374599786	0.1505899981269901
0.95	0.2505105513955071	0.1979221693960204	0.136887786732796	0.1393676379417235	0.1770365618986529	0.1635622817229336
