threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.0839108656031368	0.0236255696498531	0.4930918118477766	0.550802472601159	0.14341618287373	0.0453077538789918
0.2	0.094097378891669	0.0294980238182603	0.4435836498936482	0.3465009949038467	0.1552595555342082	0.0543676663596761
0.3	0.1103020639236675	0.0367886287134634	0.3762607833230412	0.2283101604945202	0.1705939580422744	0.0633667000218135
0.4	0.1472536312269297	0.0461127236959827	0.2831764566452716	0.1552798517936338	0.1937539344664596	0.0711086482101438
0.5	0.2154498467612072	0.0593561678056526	0.206971188333115	0.1081918948084108	0.2111254275033802	0.0766568847561299
0.6	0.3332062900539228	0.0798902630758165	0.1472395316778632	0.0782886406307503	0.2042317192927811	0.0790813433306029
0.7	0.5011906294246363	0.1134812495413293	0.0971512690481982	0.0578728394368657	0.1627541237140334	0.0766539295672828
0.8	0.7054924242424242	0.1699249256814632	0.0650586026435125	0.042072893080584	0.1191312442533166	0.067446290454025
0.9	0.8321304131408661	0.2979213416794614	0.0417111098635827	0.031468902237442	0.0794402238154354	0.056924925670377
0.95	0.8738229755178908	0.4570593759782949	0.0347311888321263	0.0273208705252718	0.0668070478555873	0.0515597410241318
