threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.2290302527973477	0.1053058283037564	0.7636979202653217	0.7269398189732605	0.3523823187158274	0.1839625115839904
0.2	0.2901138202151514	0.1313680829796647	0.7062115663649554	0.5539280038692738	0.4112747464992757	0.2123708609271523
0.3	0.3565505173463177	0.16308043778557	0.647619705658813	0.4241691425412838	0.4599003949854027	0.2355853176506706
0.4	0.4279344722208306	0.2001653234139285	0.5902024459338078	0.3346230912734056	0.4961375384794098	0.2504913623668149
0.5	0.5129389390749168	0.2420925348437599	0.5217992123264009	0.2628342430733089	0.5173311412522265	0.2520373683164381
0.6	0.5951913181775658	0.2954872089680943	0.4395771436467905	0.2130864368133766	0.5056831730387092	0.2476114010437575
0.7	0.669973544973545	0.3644306234266252	0.3499619982035514	0.170040765563463	0.4597648981073843	0.2318854235371714
0.8	0.7662781350482315	0.465863453815261	0.263456090651558	0.1362537138119256	0.3921024217183403	0.2108414412487972
0.9	0.8355914538822303	0.6216540151817819	0.2215850203827817	0.1075105368617425	0.3502812517066245	0.1833176248821866
0.95	0.8428610132755351	0.7354666666666667	0.2149519795481241	0.0952808678228425	0.3425456947808852	0.1687056520675312
