threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.1640431813526893	0.0423673439195186	0.6892513065927838	0.7213021850009446	0.2650127914390167	0.0800337229247184
0.2	0.2150491256798643	0.0559957364416049	0.6174464244485024	0.5469218982851626	0.3189958521972511	0.1015903092116292
0.3	0.2751737194690634	0.0714440416549794	0.5552337174401276	0.4223495581722393	0.3679777430012172	0.122214461416988
0.4	0.3603638625408179	0.0888015054911103	0.4864303255462502	0.3318011040446655	0.4140130233222869	0.1401058238573416
0.5	0.4554006573727757	0.1088172154703784	0.4216778960183028	0.2638582792855193	0.4378909740840035	0.1540875299539735
0.6	0.5432730763077908	0.136718108684945	0.3564007304325924	0.2097474970090044	0.4304291617024512	0.1655360914399304
0.7	0.623362878687657	0.1778316145092461	0.2967067565014797	0.167936527926453	0.4020477815699658	0.1727424839423544
0.8	0.7149423799041823	0.2456011446691674	0.2317864114350481	0.1333039481140986	0.3500768755250519	0.1728116241734918
0.9	0.7940637949310976	0.3973175542406311	0.1729530046386667	0.1057028314757676	0.2840399862116511	0.1669816638482708
0.95	0.8333760245901639	0.555956678700361	0.1365783011145394	0.0937388493587725	0.2346936935312257	0.1604281916804368
