threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.1082085558317376	0.0601511760747429	0.5640381873411444	0.5956853263901803	0.1815814157702516	0.1092686144127906
0.2	0.1173754271956208	0.0721451281521527	0.497148347901556	0.3896534622776021	0.1899129116861742	0.1217483099928332
0.3	0.133441486467423	0.0872587642746721	0.4104829210836277	0.2711859153183311	0.2014083221803139	0.1320334724244871
0.4	0.1720139553974552	0.1043701972389904	0.3117599652842353	0.1923935279895852	0.2217029999779575	0.1353275266261868
0.5	0.239030465606438	0.1312363175481046	0.2320066951831876	0.1412187713099001	0.2354662136655341	0.1360446713846337
0.6	0.3508711043242868	0.1640087710555167	0.1566858843221127	0.1020085549562953	0.21663202554158	0.1257835193395505
0.7	0.5079632465543644	0.2231824661439772	0.1028144566362903	0.077645527245676	0.1710146421942668	0.1152094927102975
0.8	0.6846625766871166	0.3193373790388715	0.0691835596057281	0.060349637344244	0.1256685997410055	0.1015146380249745
0.9	0.8406593406593407	0.4978930307941653	0.047424214245862	0.04761019155663	0.0897834634117716	0.0869097801793645
0.95	0.8932461873638344	0.6478468899521531	0.0381253487074576	0.0419688797966648	0.0731294033710871	0.0788309268747089
