threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.1030686215730092	0.0472004753250384	0.5356940509915015	0.7651558073654391	0.1728756228002011	0.0889159561510353
0.2	0.1157933066304743	0.0556668479774997	0.4954674220963173	0.5943342776203966	0.1877163326088706	0.1017989495008309
0.3	0.1322531864333549	0.0679374291904355	0.4335694050991501	0.4841359773371105	0.2026816752193345	0.1191542765508706
0.4	0.1620743517650734	0.0855603643957507	0.3674220963172804	0.4004249291784703	0.2249295469325818	0.1409939901748086
0.5	0.2232210549117296	0.1110640101738024	0.2919263456090651	0.3339943342776204	0.2529920824894127	0.1666961224417659
0.6	0.3732836862927624	0.149787104622871	0.2271954674220963	0.2790368271954674	0.2824689618737342	0.194933702750841
0.7	0.6945010183299389	0.2168158325980083	0.1932011331444759	0.2436260623229461	0.302304964539007	0.2294404055225772
0.8	0.8796229151559101	0.3263204032434801	0.1718130311614731	0.2109065155807365	0.2874748192913852	0.256216123203992
0.9	0.905703422053232	0.537246963562753	0.1686968838526912	0.1879603399433427	0.2844179104477612	0.2784889821615949
0.95	0.905703422053232	0.7092238470191226	0.1686968838526912	0.1786118980169971	0.2844179104477612	0.2853586784340348
