threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.0777558673304454	0.0258076128530813	0.4653047801443135	0.6102180179134505	0.1332454373976894	0.0495208670861434
0.2	0.084677185170845	0.0306346788599227	0.4230746909639603	0.4054127251271932	0.1411113405254736	0.0569648553181831
0.3	0.0966170138796031	0.0378908516495454	0.3494477008492446	0.2867699688545838	0.1513797987077743	0.0669372936995678
0.4	0.120833617922273	0.0469479259531176	0.2737894879384056	0.2078231095119261	0.1676687142002476	0.0765931962312981
0.5	0.1659948287214736	0.0601498064936343	0.1999497030545722	0.1536378233029617	0.1813969813969813	0.0864529472595656
0.6	0.2516900093370681	0.0789501381397184	0.1303658135530923	0.1160892190431973	0.1717642860784013	0.0939836965458916
0.7	0.4132945263355553	0.1082011087746128	0.0851565976050916	0.0875940649604395	0.1412164763249069	0.0968131621428036
0.8	0.615291016021091	0.1558680268357687	0.058692666318457	0.0656181688042868	0.1071630404068946	0.0923558641345041
0.9	0.7220064724919094	0.2713727907932594	0.0431586481728667	0.0510900895672528	0.0814486245733165	0.085991045991046
0.95	0.7245403111739745	0.4000348614258323	0.0396378619929197	0.0443967268295513	0.0751636983914454	0.0799233849904231
