threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.0864781320952255	0.0273429886687026	0.4902512265268144	0.5557717250324254	0.1470222026800492	0.0521216824850547
0.2	0.0957376507516933	0.0344964697007617	0.4493388033609654	0.344914848023459	0.1578444311830965	0.0627200299429788
0.3	0.1128924020846769	0.043109423339928	0.3652371285174533	0.2288600349630632	0.172474169152109	0.0725524416923465
0.4	0.1460787177941562	0.0530795475823964	0.2784427338859753	0.1538586251621271	0.1916254520669556	0.078929335336671
0.5	0.2064868525661788	0.0675972790580802	0.197724581289122	0.1061932555123216	0.2020107450991689	0.0826095062622008
0.6	0.306231957887587	0.0894284085180931	0.1271217504088422	0.0762843286527942	0.179662671727587	0.0823350844691623
0.7	0.4718441170986388	0.1211580254579323	0.0713500253764168	0.0550174815316077	0.12395601165838	0.0756723740086482
0.8	0.6825085742283195	0.1757156048014773	0.0392770540799639	0.0402427677211977	0.0742794678326712	0.0654874565539075
0.9	0.7319157015378773	0.2903498275497994	0.0271739130434782	0.0290771443072238	0.0524022809605045	0.0528605570541612
0.95	0.7484322238301978	0.4178246286535697	0.0218730615237128	0.0245869283257204	0.0425039380864324	0.0464410300109179
