threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.0515243016388274	0.0162999148797031	0.3548890547601275	0.6224129741467056	0.0899843000623696	0.0317678840459244
0.2	0.0529839988840035	0.0196549468391144	0.3479337721381557	0.4230508244554523	0.0919636091344838	0.0375646400118095
0.3	0.0556010945429559	0.0235308398861628	0.3129877179887358	0.2959557576168827	0.094427498106332	0.0435954910177695
0.4	0.060381552139285	0.0291514741473647	0.2654542987039424	0.2178190947954129	0.0983841559258095	0.0514210882528443
0.5	0.0719396802956459	0.0363078516014587	0.1968175340978489	0.161803623532605	0.105366402993343	0.059307437369033
0.6	0.0919256462387452	0.0462423973478817	0.1503358892583293	0.1202076406324218	0.1140892939904217	0.0667910869811107
0.7	0.1055288989243265	0.060561000337952	0.1141684196240754	0.0911990228676121	0.1096787861997034	0.0727873380359875
0.8	0.1168038111736682	0.0837341225798495	0.0915043767388206	0.0691117595168623	0.1026177612053877	0.0757234995632051
0.9	0.1384290243043325	0.1306562526530265	0.0666689285471941	0.0522155119766573	0.0899951910966589	0.0746127554359682
0.95	0.1856422505307855	0.1805835686432701	0.0474655628689692	0.045565583225894	0.0756011888678735	0.0727696350681368
