threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.1745814260060826	0.0542986279724983	0.7149111621185071	0.7172064949417666	0.2806323780920201	0.1009541673584716
0.2	0.2245854093849929	0.0706827399856716	0.6418430672447505	0.5326022273229618	0.3327420367779112	0.1248026613943435
0.3	0.2834390606019705	0.0887730049851943	0.580209130323897	0.402682138910142	0.3808354665234464	0.1454753458945654
0.4	0.3581407966722431	0.1090012094038524	0.5050369803621525	0.3141418005610814	0.4190894420782519	0.1618452172389628
0.5	0.4361564588583324	0.1331657434054121	0.4230213380940236	0.2488098274249766	0.4294884935319948	0.173482013855444
0.6	0.5239893969516236	0.1628290056325055	0.3360962339539233	0.1953795800391056	0.4095193702092397	0.1776253502077094
0.7	0.6358994283177	0.2025982147933367	0.2434965570007651	0.1514707132534217	0.3521492569426301	0.1733430621427703
0.8	0.7156918571544781	0.272823117841568	0.1869846127688514	0.1209937941001445	0.2965034965034965	0.1676408663260648
0.9	0.7554865646076437	0.4075949367088607	0.1499829975346425	0.0923871461361897	0.2502792899827993	0.1506315297052861
0.95	0.7808318789994183	0.5349369988545246	0.1141077956303664	0.0794015132194168	0.1991173416407061	0.1382781849137612
