threshold	prec	rand_prec	recall	rand_recall	f1	rand_f1
0.1	0.1038581147902343	0.0280043530568041	0.5426276963301896	0.7441093161515236	0.1743465629234777	0.0539772855562329
0.2	0.1292150217383862	0.0341882132064945	0.4699473962710492	0.5588757120179288	0.2026971692477059	0.064434747033956
0.3	0.1600154231733179	0.0422334299719327	0.4133594795654745	0.4266816073707473	0.2307177789939106	0.0768592446398134
0.4	0.2198984691977498	0.0531328420832065	0.3492078314190556	0.3314968717900831	0.2698626512399875	0.0915861167486498
0.5	0.3248959200666111	0.0695860428759126	0.3036386839729822	0.2604662744731845	0.3139078388466984	0.1098299656781357
0.6	0.4748119070984625	0.0949475745236304	0.2710803996638342	0.2082983160581442	0.3451227486179635	0.1304381724621861
0.7	0.618759577385273	0.1409310541902634	0.2388022535561988	0.1688610825785165	0.3446076449714773	0.1536370201498137
0.8	0.6912043872600717	0.2276608722171393	0.2040028636349488	0.1394154449528434	0.3150279987502704	0.1729310244975966
0.9	0.7423544886550477	0.4112024894420982	0.1405359977588944	0.1151679272885734	0.2363317542987254	0.1799392097264437
0.95	0.7887290733317613	0.5743073047858942	0.1041180315622373	0.1064525165748435	0.1839529256489221	0.1796124153143217
