seqname	pos	GO:0000123	GO:0000131	GO:0000151	GO:0000322	GO:0000323	GO:0000324	GO:0000329	GO:0000776	GO:0000785	GO:0000790	GO:0005575	GO:0005618	GO:0005628	GO:0005634	GO:0005635	GO:0005643	GO:0005667	GO:0005681	GO:0005684	GO:0005730	GO:0005737	GO:0005739	GO:0005743	GO:0005758	GO:0005759	GO:0005768	GO:0005773	GO:0005774	GO:0005783	GO:0005789	GO:0005794	GO:0005811	GO:0005815	GO:0005816	GO:0005829	GO:0005840	GO:0005886	GO:0005887	GO:0005934	GO:0005935	GO:0009277	GO:0010494	GO:0015934	GO:0015935	GO:0016020	GO:0016021	GO:0019866	GO:0019898	GO:0022625	GO:0022627	GO:0030135	GO:0030176	GO:0030312	GO:0030427	GO:0030479	GO:0030684	GO:0030686	GO:0030687	GO:0031090	GO:0031224	GO:0031226	GO:0031227	GO:0031248	GO:0031300	GO:0031301	GO:0031410	GO:0031966	GO:0031967	GO:0031970	GO:0031974	GO:0031975	GO:0031982	GO:0031984	GO:0032040	GO:0032991	GO:0035770	GO:0036464	GO:0042579	GO:0043226	GO:0043227	GO:0043228	GO:0043229	GO:0043231	GO:0043232	GO:0043233	GO:0043332	GO:0044391	GO:0044422	GO:0044424	GO:0044425	GO:0044427	GO:0044428	GO:0044429	GO:0044430	GO:0044431	GO:0044432	GO:0044433	GO:0044437	GO:0044440	GO:0044444	GO:0044445	GO:0044446	GO:0044448	GO:0044451	GO:0044452	GO:0044454	GO:0044455	GO:0044459	GO:0044463	GO:0044464	GO:0044798	GO:0051286	GO:0061645	GO:0061695	GO:0070013	GO:0070603	GO:0071944	GO:0090575	GO:0097708	GO:0098573	GO:0098588	GO:0098687	GO:0098791	GO:0098796	GO:0098798	GO:0098800	GO:0098805	GO:0098852	GO:0120038	GO:0120114	GO:1902493	GO:1902494	GO:1904949	GO:1990234	GO:1990904
XL	182	0.0	0.0	0.004285714285714285	0.17515303705151106	0.17515303705151106	0.17515303705151106	0.12077601437690826	0.0	0.0	0.0	1.0	0.0	0.0006272746533456389	0.7606161764205024	0.0	0.004090017392711241	0.0	0.0	0.0	0.14401606652605145	0.2719326550905349	0.12884988352398602	0.0	0.0	0.0	0.1354990954396161	0.17515303705151106	0.12077601437690826	0.003377603149437437	0.0	0.002066225923317009	0.0	0.0	0.0	0.006893882833109353	0.002976314674905605	0.0010444118475792686	7.454517233209976e-05	0.0	0.0	0.0	0.0	0.003684125835453661	0.003684125835453661	0.12077601437690826	0.6127518202897863	0.0	0.00027777777777777783	0.0033333333333333327	0.0033333333333333327	0.004918622848200313	0.0	0.0	0.0	0.0	0.0054484527817861145	0.0054484527817861145	0.0054484527817861145	0.12077601437690826	0.6127518202897863	7.454517233209976e-05	0.0	0.0	0.0	0.0	0.1354990954396161	0.0	0.0	0.0	0.0	0.0	0.1354990954396161	0.0	0.0054484527817861145	0.502178945064871	0.0	0.0	0.0	0.8406354935941401	0.8406354935941401	0.17261203090847085	0.8406354935941401	0.8406354935941401	0.14401606652605145	0.0	0.0	0.003684125835453661	0.6158638588383161	0.981628644414474	0.6127518202897863	0.0	0.3421343850879489	0.18508756409430802	0.0	0.0	0.0	0.0	0.29272096893164123	0.0	0.4443012178799315	0.0033333333333333327	0.6155463424680125	0.0	0.0	0.0	0.0	0.18508756409430802	7.454517233209976e-05	0.0	0.9962642674473524	0.0	0.0	0.0	0.005338414600976139	0.0	0.0	0.232365779397788	0.0	0.1354990954396161	0.0	0.12077601437690826	0.0	0.0	0.502178945064871	0.18508756409430802	0.18508756409430802	0.12077601437690826	0.12077601437690826	0.0	0.0	0.005338414600976139	0.005338414600976139	0.005338414600976139	0.005338414600976139	0.0054484527817861145
XL	183	0.0	0.0	0.004285714285714285	0.2259478453479304	0.2259478453479304	0.2259478453479304	0.10809881007234837	0.0	0.0	0.0	1.0	0.0	0.0007021513399941581	0.7531162859568546	0.0	0.004090017392711241	0.0033333333333333327	0.0	0.0	0.15182481130150605	0.268741769352622	0.10491433577504868	0.0	0.0	0.0	0.1380311365936313	0.2259478453479304	0.10809881007234837	0.0	0.0	0.002066225923317009	0.0	0.0	0.0	0.006872044458251354	0.0030370277975353284	0.0010444118475792686	0.0	0.0	0.0	0.0	0.0	0.003264307918923293	0.003264307918923293	0.10809881007234837	0.5716887562037765	0.0	0.00027777777777777783	0.003264307918923293	0.003264307918923293	0.004585289514866979	0.0	0.0	0.0	0.0	0.0054484527817861145	0.0054484527817861145	0.0054484527817861145	0.10809881007234837	0.5716887562037765	0.0	0.0	0.0	0.0	0.0	0.1380311365936313	0.0	0.0	0.0	0.0	0.0	0.1380311365936313	0.0	0.0054484527817861145	0.4945894010042332	0.0	0.0	0.0	0.8354190384861802	0.8354190384861802	0.16609128867541992	0.8354190384861802	0.8354190384861802	0.15182481130150605	0.0	0.0	0.003264307918923293	0.5686770206903343	0.9819417080060115	0.5716887562037765	0.0	0.3981580585555489	0.1513336156977399	0.0	0.0	0.0	0.0	0.23076313050706004	0.0	0.4443837632583043	0.0033333333333333327	0.5686770206903343	0.0	0.0	0.0	0.0	0.1513336156977399	0.0	0.0	0.995605095973444	0.0	0.0	0.0	0.005338414600976139	0.0	0.0	0.2431803380943032	0.0	0.1380311365936313	0.0	0.10809881007234837	0.0	0.0	0.4392360334606127	0.1513336156977399	0.1513336156977399	0.10809881007234837	0.10809881007234837	0.0	0.0	0.005338414600976139	0.005338414600976139	0.005338414600976139	0.005338414600976139	0.0054484527817861145
XL	190	0.0	0.0	0.3916131649528185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.4326647564469916e-05	0.7754379001099885	0.0	0.0007566840593779072	0.0	0.0	0.0	0.13582042102991726	0.6347511422505704	0.2024970631663084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002297261166561437	0.0	0.0	0.0	0.024187582824046792	0.005655028004804758	0.0	0.0	0.0	0.0	0.0	0.0	0.0030960117830147625	0.0030960117830147625	1.4326647564469916e-05	0.02618543882507034	0.0	0.02618543882507034	0.0030960117830147625	0.0030960117830147625	0.0	0.0	0.0	0.0	0.0	0.005655028004804758	0.005655028004804758	0.005655028004804758	0.0	0.02618543882507034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005655028004804758	0.43956212512905657	0.0	0.0	0.0	0.7754379001099885	0.7754379001099885	0.13582042102991726	0.7754379001099885	0.7754379001099885	0.13582042102991726	0.0	0.0	0.0030960117830147625	0.19850230913329905	0.9732023029506434	0.02618543882507034	3.115264797507788e-05	0.19850230913329905	0.0	0.0	0.0	0.0	0.0	9.49664520007822e-05	0.0	0.3432505179228057	0.0033333333333333327	0.19850230913329905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9764584828694316	0.0	0.0	0.0	0.0	0.0	0.0	0.0020833333333333333	0.0	0.0	0.0	0.0	3.115264797507788e-05	0.0	0.003413654618473896	0.0	0.0	1.4326647564469916e-05	0.0	0.0	0.0	0.0	0.43956212512905657	0.0	0.43956212512905657	0.005655028004804758
XL	191	0.0	0.0	0.3874198850628679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0007186744933493066	0.7740445237776522	0.0	0.20083139941052933	0.0	0.0	0.0	0.0	0.6332810239563217	0.28583424095295257	0.0	0.0	0.0	0.0	0.0	0.0	0.00019930857579402548	0.0	0.002342538479049805	0.0	0.0	0.0	0.027603220684129102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018937067423242058	0.0018937067423242058	0.0016992649793906404	0.09829056633677334	0.0	0.020135416956303397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035483181692859108	0.0035483181692859108	0.0035483181692859108	0.0	0.09829056633677334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.185792349726776e-05	0.0	0.0	0.0	0.0035483181692859108	0.4176760653212875	0.0	0.0	0.0	0.7753883770352407	0.7753883770352407	0.0	0.7740445237776522	0.7740445237776522	0.0	0.0	0.0	0.0018937067423242058	0.20083139941052933	0.972619168363534	0.09829056633677334	3.115264797507788e-05	0.20083139941052933	0.0	0.0	0.0	0.0033333333333333327	0.0	9.49664520007822e-05	0.0	0.35913682023138616	0.0	0.20083139941052933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9767848991606092	0.0	0.0	0.0	0.0	0.0	0.0	0.0020833333333333333	0.0	0.0	0.0	0.0	3.115264797507788e-05	0.0	0.003461538461538461	0.0	0.0	0.0016992649793906404	0.0	0.0	0.0	0.0	0.4176760653212875	0.0	0.4176760653212875	0.0035483181692859108
XL	192	0.0	0.0	0.3632328998754135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.4326647564469916e-05	0.7631423968503305	0.0	0.1725519331789261	0.0	0.0	0.0	0.0005024455523291574	0.6199834350414359	0.2926378248848648	0.0	0.0	0.0	0.0	0.0	0.0	0.00019930857579402548	0.0	0.0015089522801965706	0.0	0.0	0.0	0.2899524194178009	0.0005024455523291574	0.0	0.0	0.0	0.0	0.0	0.0	0.0013930207331548626	0.0013930207331548626	1.4326647564469916e-05	0.11103266679089742	0.0	0.023332695867868018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013930207331548626	0.0013930207331548626	0.0013930207331548626	0.0	0.11103266679089742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.185792349726776e-05	0.0	0.0	0.0	0.0013930207331548626	0.3632328998754135	0.0	0.0	0.0	0.7631423968503305	0.7631423968503305	0.0005024455523291574	0.7631423968503305	0.7631423968503305	0.0005024455523291574	0.0	0.0	0.0013930207331548626	0.1725519331789261	0.9775308023771344	0.11103266679089742	3.115264797507788e-05	0.1725519331789261	0.0	0.0	0.0	0.0	0.0	3.269576589831617e-06	0.0	0.4053386125642716	0.0	0.1725519331789261	0.0	0.0	0.0016666666666666668	0.0	0.0	0.0	0.0	0.9879797000845724	0.0	0.0	0.0	0.0	0.0	0.0	7.524454477050412e-06	0.0	0.0	0.0	0.0	3.115264797507788e-05	0.0	0.0	0.0	0.0	1.4326647564469916e-05	0.0	0.0	0.0	0.0	0.3632328998754135	0.0	0.3632328998754135	0.0013930207331548626
XL	194	0.0	0.0	0.22099694407181256	0.11760746208872143	0.11760746208872143	0.11760746208872143	0.0	0.0	0.0	0.0	1.0	0.0	0.00011175183893538154	0.5941243053441408	0.0	0.1952453371112526	0.0	0.0	0.0	0.0005481076527857783	0.5380786969982011	0.265688743486615	0.0	0.0	0.0	0.29827921529365303	0.11760746208872143	0.0	4.4269816104103003e-05	0.0	0.0016333573201563587	0.0	0.0	0.0	0.528811548296124	0.0005481076527857783	0.0	0.0	0.0	0.0	0.0	0.0	0.0013930207331548626	0.0013930207331548626	0.00011175183893538154	0.2957894235650054	0.0	0.2957894235650054	0.0	0.0	0.0012519561815336462	0.0	0.0	0.0	0.0	0.0013930207331548626	0.0013930207331548626	0.0013930207331548626	0.0	0.2957894235650054	0.0	0.0	0.0	0.0	0.0	0.29827921529365303	0.0	0.0	0.0	0.0	0.0	0.36765397609611206	0.0	0.0013930207331548626	0.3708769665564228	0.0	0.0	0.0	0.7649496920237867	0.7649496920237867	0.0005481076527857783	0.7649496920237867	0.7649496920237867	0.0005481076527857783	0.0	0.0	0.0013930207331548626	0.1952453371112526	0.9789413440376392	0.2957894235650054	3.115264797507788e-05	0.1952453371112526	0.0	0.0	0.0	0.0033333333333333327	0.0	3.269576589831617e-06	0.0	0.6092157331913809	0.0	0.1952453371112526	0.0	0.0	0.0016666666666666668	0.0	0.0	0.0	0.0	0.9954081853148632	0.0	0.0	0.0	0.0	0.0	0.0	7.524454477050412e-06	0.0	0.3007867619984722	0.0	0.0	3.115264797507788e-05	0.0	0.0	0.0	0.0	0.00011175183893538154	0.0	0.0	0.0	0.0	0.3708769665564228	0.0	0.3708769665564228	0.0013930207331548626
XL	195	0.0	0.0	0.0009523809523809524	0.12278664869725135	0.12278664869725135	0.12278664869725135	0.0	2.73224043715847e-05	0.0	0.0	1.0	0.0	0.00011175183893538154	0.6058430908062381	0.0	0.19188913201217575	0.0	0.0	0.0	0.0	0.5224227857588339	0.2263861021139256	0.0	0.0	0.0	0.3125420573301413	0.12278664869725135	0.0	0.003377603149437437	0.0	0.0016333573201563587	0.0	0.00027777777777777783	0.0	0.6040217811736741	0.0013930207331548626	0.0	0.0	0.0	0.0	0.0	0.0	0.0013930207331548626	0.0013930207331548626	0.00011175183893538154	0.31719087696149023	0.0	0.31719087696149023	0.0	0.0	0.0012519561815336462	0.0	0.0	0.0	0.0	0.0013930207331548626	0.0013930207331548626	0.0013930207331548626	0.0	0.31719087696149023	0.0	0.0	0.0	0.0	0.0	0.3125420573301413	0.0	0.0	0.0	0.0	0.0	0.40721282726070746	0.0	0.0013930207331548626	0.403100732391837	0.0	0.0	0.0	0.7693317337406281	0.7693317337406281	0.0015849969847897662	0.7693317337406281	0.7693317337406281	0.0015849969847897662	0.0	0.0	0.0013930207331548626	0.19188913201217575	0.979149212752652	0.31719087696149023	3.115264797507788e-05	0.19188913201217575	0.0	0.00027777777777777783	0.0	0.0033333333333333327	0.0	3.269576589831617e-06	0.0	0.6040217811736741	0.0	0.19188913201217575	0.0	0.0	0.0016666666666666668	3.115264797507788e-05	0.0	0.0	0.0	0.995933010551966	0.0	0.0	0.0	0.03333333333333333	0.0	3.115264797507788e-05	0.0	0.0	0.3222203426173715	0.0	0.0	3.115264797507788e-05	0.0	0.0	0.0	0.0	0.00011175183893538154	0.0	0.0	0.0	0.006666666666666667	0.403100732391837	0.25666666666666665	0.403100732391837	0.0013930207331548626
XL	204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40459189199066825	0.0	0.0	1.0	0.0	0.0010055933535213922	0.5305853561031052	0.0	0.00841259803787253	0.0003418803418803419	0.0	0.0	0.29038597918872083	0.3831124583044696	0.0009700302688345834	0.0	0.0	2.1645021645021645e-05	0.1953442983225082	0.0	0.0	0.33089521318446824	0.0	0.0016274176451701724	0.0	0.00027777777777777783	0.0	0.29726357005736925	0.11979601725348706	0.0	0.0	0.0	0.0	0.0	0.0	0.006607685500105303	0.006607685500105303	0.14453053638504273	0.0916610840138116	0.0	0.0916610840138116	0.006607685500105303	0.006607685500105303	0.006666666666666667	0.0	0.0	0.0	0.0	0.3747957471769777	0.07	0.03333333333333333	0.0	0.0916610840138116	0.0	0.0	0.0	0.0	0.0	0.1953442983225082	0.0	0.0	0.0	0.19724907073357836	0.0	0.2542218150153039	0.0	0.3747957471769777	0.8157331712186408	0.0	0.0	0.0	0.7729161179224668	0.5310279365032486	0.7051611883644424	0.7729161179224668	0.5305853561031052	0.7051611883644424	0.1916954996308774	0.0	0.006607685500105303	0.5397820172822739	0.986640651039002	0.0916610840138116	0.40459189199066825	0.5397820172822739	2.1645021645021645e-05	0.00027777777777777783	0.0	0.1475819041015757	0.0	3.269576589831617e-06	0.0	0.5309609387937517	0.3181295995534397	0.5397820172822739	0.0	0.0	0.005556861467946434	0.40459189199066825	0.0	0.0	0.0	0.99689504781177	0.0	0.0	0.0	0.05666666666666665	0.1631169771350541	0.3233333333333333	0.0	0.0	0.1953442983225082	0.0	0.0	0.02696737228702508	0.0	0.0033333333333333327	0.0	0.0	0.06805302783266799	0.0	0.0	0.0	0.0033333333333333327	0.3597206573805537	0.3597206573805537	0.3597206573805537	0.3747957471769777
